o_zone_id,d_zone_id,volume
11101.0,11101.0,295.178356802513
11101.0,11102.0,469.2264152242468
11101.0,11103.0,369.89866125797516
11101.0,11104.0,517.145782764909
11101.0,11105.0,324.00218694922614
11101.0,11106.0,309.1303101386849
11101.0,11107.0,515.60210094323
11101.0,11108.0,598.479929634997
11101.0,11109.0,400.37765941157966
11101.0,11110.0,348.88984397616906
11101.0,11201.0,1104.0870988456566
11101.0,11202.0,596.0506099977742
11101.0,11203.0,1841.520731809993
11101.0,11206.0,242.13690070300785
11101.0,11207.0,179.22894324209508
11101.0,11208.0,1063.201822863957
11101.0,11209.0,247.15975904089717
11101.0,11210.0,345.1608202237646
11101.0,11211.0,235.88672682852507
11101.0,11212.0,283.63883658558865
11101.0,11214.0,712.5237032626826
11101.0,11215.0,460.96385697359966
11101.0,11216.0,162.7751468310045
11101.0,11217.0,363.26902912587485
11101.0,11218.0,428.3362711553147
11101.0,11219.0,712.597775617591
11101.0,11221.0,764.7932623896809
11101.0,11222.0,1055.6657895508308
11101.0,11223.0,231.22450497643337
11101.0,11224.0,438.3875820543587
11101.0,11225.0,450.326637367793
11101.0,11227.0,439.70619744373033
11101.0,11228.0,235.7718190196632
11101.0,11229.0,261.30148661244095
11101.0,11230.0,517.659789309322
11101.0,11231.0,234.08423942908777
11101.0,11232.0,466.3113318764499
11101.0,11233.0,203.5239006547066
11101.0,11234.0,286.63642293017796
11101.0,11235.0,350.50533896693435
11101.0,11237.0,435.15867634407107
11101.0,11238.0,192.07155515630114
11101.0,11239.0,310.9372834102647
11101.0,11240.0,154.75087562930375
11101.0,11241.0,217.7720809068393
11101.0,11242.0,168.1773949352112
11101.0,11243.0,221.32084958444264
11101.0,11245.0,355.9372806455733
11101.0,11246.0,162.62754286567053
11101.0,11301.0,140.34028347877276
11101.0,11324.0,120.0043715154909
11101.0,11326.0,108.74012921148058
11101.0,11327.0,33.82988731233641
11101.0,11341.0,60.69478578486983
11101.0,11342.0,54.85875435258408
11101.0,11343.0,87.00607705367828
11101.0,11346.0,60.48691243537737
11101.0,11347.0,56.46269815488906
11101.0,11348.0,41.74431822293231
11101.0,11349.0,32.308023869888935
11101.0,11361.0,24.00070197530117
11101.0,11362.0,27.927514061801833
11101.0,11363.0,20.428022685763626
11101.0,11365.0,32.56110603729392
11101.0,11369.0,8.210969212567454
11101.0,11381.0,33.24621246038836
11101.0,11383.0,39.8838283621585
11101.0,11385.0,90.72445010559011
11101.0,11408.0,97.88223238049136
11101.0,11442.0,105.94967774853865
11101.0,11464.0,135.86131774159105
11101.0,11465.0,87.15934788315754
11101.0,12101.0,627.5759726006772
11101.0,12102.0,529.5894919809655
11101.0,12103.0,477.36906994182397
11101.0,12104.0,434.8979223008096
11101.0,12105.0,380.99424223922284
11101.0,12106.0,444.5677305252827
11101.0,12202.0,162.6032669565612
11101.0,12203.0,1500.8524746754238
11101.0,12204.0,1937.6015679399284
11101.0,12205.0,129.33336455738385
11101.0,12206.0,404.70494885626476
11101.0,12207.0,1518.5859248155127
11101.0,12208.0,467.79360928247036
11101.0,12210.0,112.39336698610461
11101.0,12211.0,389.116258418022
11101.0,12212.0,497.94421386038255
11101.0,12213.0,168.53201877799805
11101.0,12215.0,180.5265708013069
11101.0,12216.0,528.7881025658378
11101.0,12217.0,1293.4961851764501
11101.0,12218.0,48.011766672230394
11101.0,12219.0,794.5242965436704
11101.0,12220.0,292.9472621482091
11101.0,12221.0,595.6140172555973
11101.0,12222.0,393.7856744397456
11101.0,12223.0,92.08172161536147
11101.0,12224.0,331.9028581250144
11101.0,12225.0,242.5436239757513
11101.0,12226.0,125.24721492098888
11101.0,12227.0,518.6696847956911
11101.0,12228.0,277.068274506572
11101.0,12229.0,189.53635908265423
11101.0,12230.0,82.09072884762772
11101.0,12231.0,305.8777112993375
11101.0,12232.0,187.6050462243857
11101.0,12233.0,145.1052563695791
11101.0,12234.0,103.18030298371235
11101.0,12235.0,100.01087580294319
11101.0,12236.0,208.35117434908176
11101.0,12237.0,139.85980750956364
11101.0,12238.0,101.04310098384965
